time,cmd_L_hip_pitch,cmd_R_hip_pitch,cmd_L_hip_roll,cmd_R_hip_roll,cmd_L_hip_yaw,cmd_R_hip_yaw,cmd_L_knee,cmd_R_knee,cmd_L_foot_pitch,cmd_R_foot_pitch,cmd_L_foot_roll,cmd_R_foot_roll,pos_L_hip_pitch,pos_R_hip_pitch,pos_L_hip_roll,pos_R_hip_roll,pos_L_hip_yaw,pos_R_hip_yaw,pos_L_knee,pos_R_knee,pos_L_foot_pitch,pos_R_foot_pitch,pos_L_foot_roll,pos_R_foot_roll,act_R_hip_yaw,act_R_hip_roll,act_R_hip_pitch,act_R_knee,act_R_foot_pitch,act_R_foot_roll,act_L_hip_yaw,act_L_hip_roll,act_L_hip_pitch,act_L_knee,act_L_foot_pitch,act_L_foot_roll
0.0,0.031182346865534782,-0.03792618215084076,0.007838067598640919,-0.09611929953098297,0.028227072209119797,-0.010024037212133408,0.3560609817504883,0.30921846628189087,-0.4109342396259308,-0.4424190819263458,-0.21719712018966675,0.20064395666122437,-0.046562794113751194,0.048829527812352856,-0.00518944323545138,-0.007819881334898167,0.013433513084051519,-0.0060813103019908285,0.2812432734657086,0.2720228955375132,-0.3242521166663087,-0.3302520881978006,-0.044326650933946346,0.039990916205827495,-0.020048074424266815,-0.19223859906196594,-0.23585236072540283,0.11843691021203995,-0.5448381900787354,0.8025758266448975,0.056454144418239594,0.015676135197281837,0.22236469388008118,0.21212196350097656,-0.4818684756755829,-0.868788480758667
0.02,0.06675159931182861,-0.060577452182769775,-0.08343905210494995,-0.1267661303281784,0.07808911055326462,-0.012465352192521095,0.44653961062431335,0.3525250554084778,-0.1383487433195114,0.00867609865963459,-0.2312462478876114,0.24824588000774384,-0.008849477794523095,0.015766433996365698,-0.020593577830121425,-0.02876958916573389,0.046480943610798374,-0.007984775493659238,0.3241763677626608,0.28818394668126307,-0.3272801278401183,-0.33581179464304456,-0.1091869248403083,0.09619369173414934,-0.02493070438504219,-0.2535322606563568,-0.28115490078926086,0.20505012571811676,0.35735219717025757,0.9929835200309753,0.15617822110652924,-0.1668781042098999,0.29350319504737854,0.3930792212486267,0.06330250203609467,-0.9249849915504456
0.04,0.11492744088172913,-0.06403863430023193,-0.16019928455352783,-0.14599721133708954,0.10047227889299393,-0.00819160882383585,0.5324118137359619,0.41918426752090454,-0.29966044425964355,0.2936408221721649,-0.2054421603679657,0.24916918575763702,0.02731766119712699,-0.014875147904486557,-0.036456793869426414,-0.04691287462244602,0.07581111576582138,-0.004343279419642199,0.3753582297859314,0.3037075223279237,-0.36390342604288395,-0.3808204868960078,-0.14182035219030975,0.05751897317842755,-0.0163832176476717,-0.2919944226741791,-0.2880772650241852,0.3383685052394867,0.9272816181182861,0.9966767430305481,0.20094455778598785,-0.32039856910705566,0.38985487818717957,0.564823567867279,-0.2593209147453308,-0.8217686414718628
0.06,0.15787743031978607,-0.0578514039516449,-0.21384577453136444,-0.13458307087421417,0.0984082892537117,-0.018144039437174797,0.4649924039840698,0.47539955377578735,-0.47438493371009827,0.31436023116111755,-0.2161898910999298,0.24931064248085022,0.05392320162787416,-0.04332543408692595,-0.049168867794066054,-0.057324186621168435,0.08555021215836428,-0.00806583294971887,0.4121865016740377,0.336792143001004,-0.4053686386396725,-0.4008972268321989,-0.1684977271162244,-0.0226620058063526,-0.036288078874349594,-0.26916614174842834,-0.2757028043270111,0.4507991373538971,0.9687204360961914,0.9972425699234009,0.1968165785074234,-0.4276915490627289,0.47575485706329346,0.42998477816581726,-0.6087698936462402,-0.8647595643997192
0.08,0.14248959720134735,-0.08552338182926178,-0.18112456798553467,-0.08066549897193909,0.07652854919433594,-0.03697056323289871,0.3348762094974518,0.597152590751648,-0.490384042263031,0.32623520493507385,-0.24290412664413452,0.2489205151796341,0.06572369347727675,-0.07350766358741007,-0.05914139343024734,-0.05177367660155003,0.07703158756206459,-0.012716015104542813,0.4050328156884286,0.3914421302730962,-0.4314681833894651,-0.4315316165230686,-0.19504277217710211,-0.01884648545747918,-0.07394112646579742,-0.16133099794387817,-0.3310467600822449,0.6943052411079407,0.992470383644104,0.9956820607185364,0.15305709838867188,-0.36224913597106934,0.444979190826416,0.16975243389606476,-0.6407681107521057,-0.9716165065765381
0.1,0.10573321580886841,-0.1809842437505722,-0.03913411870598793,0.012430824339389801,0.026843413710594177,-0.036288850009441376,0.37630367279052734,0.7352122068405151,-0.22530518472194672,0.3212301731109619,-0.24881188571453094,0.21315443515777588,0.07531792944265532,-0.11137749436995711,-0.06093019575537004,-0.04600755903488833,0.06236965900169749,-0.025034995614905266,0.40685766780531313,0.47089964233821585,-0.44720603915955115,-0.4616277434018779,-0.18242840901218146,-0.009438763339469568,-0.07257770001888275,0.024861648678779602,-0.5219684839248657,0.9704243540763855,0.9824603199958801,0.8526177406311035,0.053686827421188354,-0.07826823741197586,0.37146642804145813,0.2526073157787323,-0.11061038076877594,-0.9952475428581238
0.12,0.054927289485931396,-0.2489367574453354,0.04761604592204094,0.0004975718911737204,0.009704046882689,-0.013649468310177326,0.35385555028915405,0.736016035079956,-0.10099349170923233,-0.42428454756736755,-0.24931663274765015,0.161943718791008,0.07454219909387032,-0.14776613381955261,-0.05668495102829998,-0.04383794590145361,0.06233090083998027,-0.024468156915023843,0.40482466116138266,0.5544515350867983,-0.44732636993661906,-0.4911185212576894,-0.12367888244470598,0.03285891389182795,-0.027298936620354652,0.0009951437823474407,-0.6578735113143921,0.9720321297645569,-0.5085691213607788,0.647774875164032,0.019408093765378,0.09523209184408188,0.2698545753955841,0.2077111154794693,0.13801302015781403,-0.9972665309906006
0.14,-0.015668505802750587,-0.2936115860939026,0.13607262074947357,0.0007089147693477571,0.00674100499600172,0.031082073226571083,0.33285900950431824,0.7453125715255737,-0.044438302516937256,-0.6319312453269958,-0.24936184287071228,0.1295551061630249,0.06433152945811492,-0.17543766613260692,-0.05100724997320892,-0.03641459635867061,0.059138600800023505,0.00270079147076264,0.3883073782111153,0.6206607998411086,-0.44132402903096457,-0.5284011757669484,-0.04446862126310155,0.07232438226579355,0.062164146453142166,0.0014178295386955142,-0.7472231984138489,0.9906251430511475,-0.9238625168800354,0.5182204246520996,0.01348200999200344,0.27214524149894714,0.12866298854351044,0.16571801900863647,0.2511233985424042,-0.9974473714828491
0.16,-0.07214614748954773,-0.30923664569854736,0.17588262259960175,-0.014181041158735752,0.01156787108629942,0.060766253620386124,0.31932908296585083,0.7484334707260132,-0.02372102253139019,-0.6317781805992126,-0.24960733950138092,0.08967579156160355,0.046673134598853604,-0.19276943211267988,-0.058329237773780976,-0.03384750423890106,0.05671912682861543,0.03783947725480144,0.37185206754544164,0.6666240347468311,-0.4349456607062862,-0.5614722049864042,-0.04306159813830941,0.08766348087187123,0.12153250724077225,-0.028362082317471504,-0.7784733176231384,0.9968670010566711,-0.9235563278198242,0.3587031662464142,0.02313574217259884,0.3517652451992035,0.015707701444625854,0.13865813612937927,0.292557954788208,-0.9984293580055237
0.18,-0.10556142032146454,-0.3239171504974365,0.22163620591163635,-0.04175799712538719,0.020110053941607475,0.06198690086603165,0.312528133392334,0.7489397525787354,-0.05160396546125412,-0.6176831722259521,-0.2493242770433426,0.06836391240358353,0.02546745688218527,-0.20717143176894876,-0.05988131168021483,-0.0269865750430252,0.05504505229913969,0.05525825338592339,0.3520721617425371,0.696582640420673,-0.4283623465785528,-0.5809724429130152,-0.04252009074436783,0.08615553004867507,0.1239738017320633,-0.08351599425077438,-0.8078343272209167,0.9978795647621155,-0.895366370677948,0.2734556496143341,0.04022010788321495,0.4432724118232727,-0.05112284794449806,0.12505629658699036,0.23679207265377045,-0.9972971081733704
